Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3553401;Interior;Tanabi;4918;117;;;
3553500;Interior;Tapiraí;860;10;;;
3553609;Interior;Tapiratiba;2024;35;;;
3553658;Interior;Taquaral;382;12;;;
3553708;Interior;Taquaritinga;6765;213;;;
3553807;Interior;Taquarituba;3846;110;;;
3553856;Interior;Taquarivaí;559;20;;;
3553906;Interior;Tarabai;885;31;;;
3553955;Interior;Tarumã;1783;53;;;
3554003;Interior;Tatuí;12967;470;;;
3554102;Interior;Taubaté;29346;1019;;;
3554201;Interior;Tejupá;143;9;;;
3554300;Interior;Teodoro Sampaio;3045;51;;;
3554409;Interior;Terra Roxa;1179;33;;;
3554508;Interior;Tietê;4506;120;;;
3554607;Interior;Timburi;176;10;;;
3554656;Interior;Torre de Pedra;187;11;;;
3554706;Interior;Torrinha;1710;22;;;
3554755;Interior;Trabiju;225;3;;;
3554805;Interior;Tremembé;2752;57;;;
3554904;Interior;Três Fronteiras;890;35;;;
3554953;Interior;Tuiuti;731;3;;;
3555000;Interior;Tupã;7270;277;;;
3555109;Interior;Tupi Paulista;1717;49;;;
3555208;Interior;Turiúba;185;4;;;
3555307;Interior;Turmalina;238;5;;;
3555356;Interior;Ubarana;1136;18;;;
3555406;Interior;Ubatuba;8198;138;;;
3555505;Interior;Ubirajara;568;11;;;
3555604;Interior;Uchoa;1477;30;;;
3555703;Interior;União Paulista;231;6;;;
3555802;Interior;Urânia;1571;41;;;
3555901;Interior;Uru;171;5;;;
3556008;Interior;Urupês;887;47;;;
3556107;Interior;Valentim Gentil;2631;69;;;
3556206;Interior;Valinhos;15834;438;;;
3556305;Interior;Valparaíso;3129;83;;;
3556354;Interior;Vargem;423;10;;;
3556404;Interior;Vargem Grande do Sul;3292;107;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;3356;114;;;
3556503;Interior;Várzea Paulista;9493;269;;;
3556602;Interior;Vera Cruz;667;38;;;
3556701;Interior;Vinhedo;11041;215;;;
3556800;Interior;Viradouro;2151;94;;;
3556909;Interior;Vista Alegre do Alto;1201;20;;;
3556958;Interior;Vitória Brasil;284;9;;;
3557006;Interior;Votorantim;11771;534;;;
3557105;Interior;Votuporanga;16438;465;;;
3557154;Interior;Zacarias;269;10;;;
3557204;Interior;Chavantes;1603;50;;;
3557303;Interior;Estiva Gerbi;839;33;;;
;;Ignorado;128;0;;;
;;;;;;;
